Year,Team 1,Team 2
"2020, 2020, 2020","22, 71",19
"2020, 2020, 2020","24, 79",22
"2020, 2020, 2020","38, 99",34
"2020, 2020, 2020","58, 63",44
"2020, 2020, 2020","50, 96",45
"2020, 2020, 2020","151, 69",64
"2020, 2020, 2020","125, 99",75
"2020, 2020, 2020","115, 146",93
"2019, 2020",108,95
"2020, 2020, 2020","195, 205",126
"2020, 2020, 2020","201, 208",134
"2020, 2020, 2020","152, 211",136
"2020, 2020, 2020","148, 210",138
"2020, 2020, 2020","162, 193",145
"2019, 2020",208,211
"2019, 2019, 2019","14, 45",11
"2019, 2019, 2019","45, 65",34
"2019, 2019, 2019","44, 83",37
"2019, 2019, 2019","48, 82",41
"2019, 2019, 2019","126, 64",50
"2019, 2019, 2019","82, 91",55
"2019, 2019, 2019","73, 99",59
"2019, 2019, 2019, 2019","151, 207, 98",74
"2018, 2019",89,75
"2020, 2019",69,75
"2019, 2019, 2019","118, 129",91
"2019, 2019, 2019","122, 175",102
"2019, 2019, 2019",81,"104, 114"
"2018, 2019",122,119
"2018, 2019",139,136
"2020, 2019",135,136
"2018, 2019",159,143
"2019, 2019, 2019","177, 191",143
"2018, 2018, 2019",161,"186, 180"
"2018, 2019",208,203
"2019, 2019, 2020",153,"211, 209"
"2020, 2019",200,211
"2018, 2018, 2018","26, 48",22
"2018, 2018, 2018","29, 76",25
"2018, 2018, 2018","146, 64",58
"2018, 2018, 2018","133, 71",62
"2018, 2018, 2018","142, 87",74
"2018, 2018, 2018","114, 145",87
"2018, 2018, 2018","123, 139",102
"2019, 2018",177,156
"2017, 2018",199,190
"2019, 2018",201,190
"2017, 2017, 2017","29, 70",26
"2017, 2017, 2017, 2017","108, 44, 75",35
"2017, 2017, 2017","126, 82",78
"2017, 2017, 2017","123, 174",102
"2016, 2017",120,108
"2017, 2017, 2017","135, 181",112
"2015, 2015, 2016, 2017",31,"39, 40, 156"
"2017, 2017, 2017","205, 214",185
"2016, 2017",187,211
"2016, 2016, 2016","12, 80",11
"2016, 2016, 2016, 2016","22, 36","18, 79"
"2016, 2016, 2016","28, 87",26
"2015, 2015, 2016",36,"42, 73"
"2016, 2017, 2016","110, 170",95
"2015, 2016",135,136
"2015, 2016",147,140
"2015, 2015, 2015","29, 61",24
"2015, 2015, 2015","33, 72",28
"2015, 2015, 2015","34, 68",29
"2015, 2015, 2016, 2017",31,"156, 39, 40"
"2015, 2015, 2015","113, 62",57
"2015, 2015, 2015","76, 83",60
"2014, 2015",65,72
"2014, 2014, 2015",63,"76, 80"
"2015, 2015, 2016",99,"104, 172"
"2014, 2015",189,169
"2014, 2014, 2015",79,"204, 80"
"2016, 2015",206,208
"2014, 2014, 2014, 2014","27, 62","179, 20"
"2014, 2014, 2014","35, 57",28
"2014, 2014, 2014","44, 74",39
"2014, 2015, 2014","100, 51",46
"2014, 2014, 2014","102, 72",62
"2014, 2014, 2014","117, 87",73
"2014, 2014, 2014","104, 118",89
"2014, 2014, 2014","140, 142",119
"2013, 2013, 2013, 2014","117, 151","111, 141"
"2013, 2014",206,182
"2014, 2015, 2014","200, 210",185
"2013, 2013, 2013","20, 58",18
"2013, 2013, 2013, 2013","57, 88, 96",37
"2013, 2013, 2013","42, 73",39
"2013, 2013, 2013","50, 89",44
"2013, 2013, 2013, 2013","113, 83, 94",57
"2013, 2013, 2013, 2013","114, 127, 84",61
"2013, 2012",65,89
"2012, 2012, 2013",109,"191, 111"
"2013, 2014, 2013","203, 112",112
"2012, 2013",142,140
"2012, 2013",194,182
"2012, 2013",183,191
"2015, 2013",187,208
"2012, 2012, 2012","21, 42",14
"2010, 2012",79,66
"2011, 2011, 2012",81,"169, 66"
"2011, 2011, 2012",47,"59, 78"
"2011, 2012",171,179
"2011, 2011, 2011","30, 39",22
"2011, 2011, 2011","35, 48",24
"2010, 2011, 2011",32,"43, 69"
"2011, 2011, 2011","100, 70",60
"2011, 2011, 2011","107, 96",77
"2011, 2011, 2011","132, 193",118
"2010, 2010, 2011","155, 160",126
"2010, 2011",202,151
"2012, 2011",157,159
"2010, 2011",200,208
"2010, 2010, 2010, 2010","27, 57","113, 22"
"2010, 2010, 2010","35, 58",30
"2010, 2010, 2010","109, 49",47
"2010, 2010, 2010",15,"19, 59"
"2010, 2010, 2010","69, 99",59
"2009, 2009, 2010","107, 137",63
"2010, 2010, 2010","109, 77",71
"2011, 2010",63,95
"2010, 2010, 2010","116, 146",112
"2009, 2010",147,126
"2008, 2009, 2010",92,"117, 148"
"2009, 2010",176,150
"2010, 2010, 2010","169, 199",158
"2009, 2010",188,178
"2009, 2009, 2009, 2009, 2009, 2009","26, 37, 62, 92","16, 77"
"2009, 2009, 2009, 2009",12,"181, 16, 77"
"2009, 2009, 2009","26, 37",21
"2009, 2009, 2009",20,"23, 84"
"2009, 2009, 2009","32, 75",29
"2009, 2009, 2009","62, 92",56
"2008, 2008, 2009",15,"18, 70"
"2008, 2008, 2009",23,"24, 73"
"2009, 2009, 2009","107, 84",74
"2010, 2009",82,91
"2009, 2009, 2009, 2009","117, 119, 202",95
"2008, 2008, 2009",106,"207, 98"
"2008, 2008, 2009",111,"201, 110"
"2008, 2009",179,178
"2010, 2009",166,190
"2010, 2009",194,201
"2010, 2009",177,210
"2008, 2008, 2008","9, 40",7
"2008, 2008, 2008","17, 28",12
"2008, 2009, 2008","13, 74",12
"2008, 2008, 2008","23, 54",21
"2008, 2008, 2008","35, 39",28
"2008, 2008, 2008","46, 76",38
"2008, 2009, 2008","105, 49",46
"2008, 2008, 2009, 2008","117, 147, 87",62
"2008, 2008, 2008",68,"102, 72"
"2008, 2008, 2008","101, 81",74
"2008, 2008, 2008","107, 137",97
"2007, 2007, 2007, 2008","150, 183, 210",119
"2009, 2008",197,185
"2009, 2008",195,208
"2007, 2007, 2008, 2007","13, 44, 87",9
"2007, 2007, 2007","19, 42",16
"2007, 2007, 2007","24, 70",18
"2007, 2007, 2007","30, 36",21
"2007, 2008, 2007","41, 57",28
"2007, 2007, 2007","38, 69",35
"2007, 2008, 2007","84, 58",41
"2006, 2006, 2006, 2007",36,"113, 85, 53"
"2007, 2007, 2008, 2007","113, 143, 170",91
"2007, 2008, 2007","154, 93",95
"2006, 2007",137,108
"2007, 2007, 2007","139, 147",116
"2007, 2007, 2007, 2007",94,"128, 129, 149"
"2007, 2007, 2007","155, 169",143
